Time,OBS
1,0.813783598917071
2,0.817880980419313
3,0.8543237280519
4,0.790796635286885
5,0.774635085918946
6,0.863521260956541
7,0.771744786710385
8,0.862268052695951
9,0.785206808881653
10,0.873112459064629
11,0.737700564060878
12,0.696761928602245
13,0.897882868091176
14,0.682534096791129
15,0.892369301076987
16,0.710927434994924
17,0.78265711594276
18,0.551848959938956
19,0.646779875303502
20,0.879405674831619
21,0.54629132610548
22,0.90707230419567
23,0.52294787383728
24,0.547285707648887
25,0.42809948708826
26,0.901813925206407
27,0.522752075264108
28,0.350878814867812
29,0.936198839100246
30,0.53821843976899
31,0.236456357381651
32,0.676875312662328
33,0.488201042453621
34,0.5296957923894
35,0.035613183859964
36,0.910691927184314
37,0.121222765804361
38,0.281029390958138
39,0.931895575040323
40,0.473912234778876
41,0.522243411325678
42,0.431907859119069
43,0.067286534009416
44,0.022733516582698
45,0.249475007712318
46,0.938059449360866
47,0.728663801825399
48,0.327595518336791
49,0.219307757273029
50,0.040539742953648
51,0.188292852854047
52,0.152393352515121
53,0.040453192725361
54,0.079071749167718
55,0.211289175341176
56,0.450856431025704
57,0.48988049529086
58,0.119773810273004
59,0.981219157357256
60,0.005446544765948
61,0.271342013662503
62,0.335350736557033
63,0.290387881635112
64,0.416958052140388
65,0.34353444531089
66,0.288244680936156
67,0.363658365932832
68,0.129400729672332
69,0.74707311506951
70,0.053507676121847
71,0.974374480617627
72,0.13872871526263
73,0.256722983773583
74,0
75,0.972182865934358
76,0.12124975978629
77,0.266957740797361
78,0.437734962757407
79,0.601823040642217
80,0.357798153275171
81,0.2415320616854
82,0.459784192592186
83,0.291559117548654
84,0.429057024340019
85,0.311839027356311
86,0.400622054401803
87,0.314963331847051
88,0.180188970636224
89,0.278476702477139
90,0.287649490530172
91,0.910379349998868
92,0.614261331534337
93,0.332124363032044
94,0.89480850563263
95,0.442039818346838
96,0.919564450632326
97,0.536347869261244
98,0.925884100884185
99,0.473306626460721
100,0.89771939962567
101,0.49863108895454
102,0.499892418727839
103,0.576694193889149
104,0.732412490920615
105,0.713830866505779
106,0.627570895347713
107,0.557474491962152
